n,x,y,val,dP,lab,xT,yT
0,0.470261,-4.764686,0,3150,NaN,NaN,NaN
1,0.455566,-4.767612,0,3150,NaN,NaN,NaN
2,0.437932,-4.76176,0,3150,NaN,NaN,NaN
3,0.434993,-4.76176,0,3151,NaN,NaN,NaN
4,0.449688,-4.767612,0,3151,NaN,NaN,NaN
5,0.467322,-4.76176,0,3149,NaN,NaN,NaN
6,0.482017,-4.752981,0,3145,NaN,NaN,NaN
7,0.476139,-4.741275,0,3143,NaN,NaN,NaN
8,0.467322,-4.723715,0,3142,NaN,NaN,NaN
9,0.455566,-4.706155,0,3141,NaN,NaN,NaN
10,0.446749,-4.688594,0,3141,NaN,NaN,NaN
11,0.44381,-4.688594,0,3141,NaN,NaN,NaN
12,0.449688,-4.688594,0,3140,NaN,NaN,NaN
13,0.467322,-4.694448,0,3140,NaN,NaN,NaN
14,0.482017,-4.697374,0,3141,NaN,NaN,NaN
15,0.482017,-4.717862,0,3146,NaN,NaN,NaN
16,0.464383,-4.732495,0,3150,NaN,NaN,NaN
17,0.446749,-4.752981,0,3155,NaN,NaN,NaN
18,0.452627,-4.76176,0,3157,NaN,NaN,NaN
19,0.458505,-4.776391,0,3159,NaN,NaN,NaN
20,0.461444,-4.78517,0,3161,NaN,NaN,NaN
21,0.467322,-4.791022,0,3161,NaN,NaN,NaN
22,0.470261,-4.788096,0,3162,NaN,NaN,NaN
23,0.476139,-4.788096,0,3162,NaN,NaN,NaN
24,0.482017,-4.779317,0,3164,NaN,NaN,NaN
25,0.493773,-4.770539,0,3165,NaN,NaN,NaN
26,0.496712,-4.767612,0,3162,NaN,NaN,NaN
27,0.499651,-4.776391,0,3158,NaN,NaN,NaN
28,0.496712,-4.776391,0,3154,NaN,NaN,NaN
29,0.50259,-4.767612,0,3154,NaN,NaN,NaN
30,0.508468,-4.764686,0,3155,NaN,NaN,NaN
31,0.511407,-4.767612,0,3158,NaN,NaN,NaN
32,0.508468,-4.773465,0,3161,NaN,NaN,NaN
33,0.505529,-4.776391,0,3161,NaN,NaN,NaN
34,0.499651,-4.782244,0,3160,NaN,NaN,NaN
35,0.496712,-4.791022,0,3157,NaN,NaN,NaN
36,0.493773,-4.7998,0,3154,NaN,NaN,NaN
37,0.50259,-4.7998,0,3150,NaN,NaN,NaN
38,0.511407,-4.7998,0,3149,NaN,NaN,NaN
39,0.517285,-4.802726,0,3148,NaN,NaN,NaN
40,0.508468,-4.7998,0,3148,NaN,NaN,NaN
41,0.520224,-4.782244,0,3147,NaN,NaN,NaN
42,0.53198,-4.764686,0,3147,NaN,NaN,NaN
43,0.549613,-4.758833,0,3146,NaN,NaN,NaN
44,0.555491,-4.764686,0,3148,NaN,NaN,NaN
45,0.549613,-4.767612,0,3149,NaN,NaN,NaN
46,0.534919,-4.773465,0,3146,NaN,NaN,NaN
47,0.529041,-4.773465,0,3142,NaN,NaN,NaN
48,0.534919,-4.776391,0,3138,NaN,NaN,NaN
49,0.540797,-4.776391,0,3140,NaN,NaN,NaN
50,0.540797,-4.776391,0,3143,NaN,NaN,NaN
51,0.543736,-4.770539,0,3146,NaN,NaN,NaN
52,0.555491,-4.750054,0,3147,NaN,NaN,NaN
53,0.570186,-4.732495,0,3145,NaN,NaN,NaN
54,0.58488,-4.723715,0,3146,NaN,NaN,NaN
55,0.58488,-4.735422,0,3148,NaN,NaN,NaN
56,0.587819,-4.747128,0,3150,NaN,NaN,NaN
57,0.587819,-4.764686,0,3149,NaN,NaN,NaN
58,0.587819,-4.767612,0,3149,NaN,NaN,NaN
59,0.587819,-4.767612,0,3148,NaN,NaN,NaN
60,0.593697,-4.76176,0,3147,NaN,NaN,NaN
61,0.599575,-4.758833,0,3147,NaN,NaN,NaN
62,0.599575,-4.755907,0,3150,NaN,NaN,NaN
63,0.593697,-4.752981,0,3152,NaN,NaN,NaN
64,0.576064,-4.752981,0,3154,NaN,NaN,NaN
65,0.55843,-4.752981,0,3154,NaN,NaN,NaN
66,0.543736,-4.750054,0,3152,NaN,NaN,NaN
67,0.543736,-4.744201,0,3149,NaN,NaN,NaN
68,0.549613,-4.741275,0,3147,NaN,NaN,NaN
69,0.561369,-4.744201,0,3144,NaN,NaN,NaN
70,0.593697,-4.744201,0,3141,NaN,NaN,NaN
71,0.617208,-4.744201,0,3140,NaN,NaN,NaN
